,idpozo,Lateral_length(m),Stage_Count,Fluid Pumped(bbl),Max_Pressure(psi),HorsePower(HP),Proppant Pumped(lb),Prop_int(lb/ft),Fluid_int(bbl/ft),Stage_frac_length(m),Prop/Fluid(lb/bbl),Rate(bbl/min),12 month Oil Prod,12 month Gas Prod,12 month Water Prod,Xcoor,Ycoor
23,154188.0,1061.1,14.0,88783.979,12000.0,28000.0,6506748.537299999,1868.966333005799,213.86938300879967,75.79285714285713,8.73882136242428,95.2,0.0,0.0,0.0,-69.22082928,-37.96300714
73,156550.0,1367.5,18.0,110252.378,10356.0,22000.0,9754517.5596,2174.0635233717817,206.07768012369309,75.97222222222223,10.549728248429684,86.67439165701042,10037.600000000002,1346.8100000000002,2245.97,-68.66542878,-38.26580184
74,156473.0,1145.1,15.0,109868.059,11524.0,26000.0,7607360.9799,2024.8104781086104,245.24398460352575,76.33999999999999,8.256310471312986,92.05137105171816,5789.219999999999,894.7099999999999,1007.96,-68.63173717,-38.30316815
75,156320.0,1170.6,15.0,79499.31,12500.0,26000.0,7320550.941,1906.0268618645384,173.59018493757688,78.03999999999999,10.98003820060418,84.864,6215.099999999999,1036.0300000000002,2418.9700000000003,-68.63173307,-38.30370767
76,156967.0,1464.4,18.0,113252.708,11215.0,24000.0,9966128.0103,2074.247190790244,197.6783927851616,81.35555555555555,10.49303953540614,87.31163620151581,15903.48,1080.24,1550.54,-68.66222085,-38.09899288
77,156968.0,1428.5,18.0,111491.508,10912.0,24000.0,9932694.948,2119.2423423670416,199.49493382041743,79.36111111111111,10.62303839893375,89.73607038123166,12088.680000000002,1053.16,2206.19,-68.66222066,-38.09908279
78,157861.0,1520.5,16.0,100619.243,10740.0,26000.0,8797062.1167,1763.3763169629003,169.1472523607451,95.03125,10.425095840174206,98.7709497206704,10838.57,1563.5800000000002,2159.17,-68.69211048,-38.22183538
79,157862.0,996.0,13.0,122258.73,10770.0,26000.0,7053086.4426,2158.3090798426865,313.75515355780635,76.61538461538461,6.878959772831394,98.4958217270195,9821.88,1592.5599999999995,1532.59,-68.69211286,-38.22156962
80,158238.0,1465.5,18.0,113049.541,10663.0,24000.0,9693008.6616,2015.8886871060915,197.1756616928103,81.41666666666667,10.223821083185936,91.83156710119104,15177.95,1619.3200000000002,4187.7,-68.70021254,-38.15433578
81,158239.0,1482.5,18.0,169291.576,10862.0,24000.0,9808685.073,2016.554010545668,291.8844590950799,82.36111111111111,6.908740591388545,90.14914380408764,14320.13,1422.5100000000002,3095.71,-68.70009867,-38.15433585
82,158753.0,1785.8,23.0,141882.901,11691.0,30000.0,12053363.0184,2057.165288466031,203.08019295051,77.64347826086956,10.129817480365286,104.69591993841416,11976.19,2513.95,5902.99,-68.74854533,-38.17637013
83,159026.0,1820.3,23.0,213085.072,11540.0,30000.0,12079653.111899998,2022.577927602791,299.21294786375535,79.14347826086956,6.75966044264822,106.06585788561524,8824.38,2278.76,5900.04,-68.74865831,-38.17637019
84,157863.0,1221.5,16.0,98479.385,10636.0,28000.0,8852420.1249,2208.8301166380115,206.07351683543337,76.34375,10.71865104530605,107.40880030086498,10931.669999999998,1578.4799999999998,2364.3700000000003,-68.57795572,-38.26240557
85,159135.0,1197.5,16.0,98062.358,10800.0,28000.0,8220862.633499999,2092.356290249612,209.3134501398899,74.84375,9.996282077674572,105.77777777777776,9456.13,938.53,885.48,-68.57784077,-38.26240543
86,158041.0,1428.5,18.0,111417.286,10683.0,26000.0,10050355.517399998,2144.3464316403865,199.36212627979276,79.36111111111111,10.756037125280884,99.297950014041,12505.240000000002,2236.17,3459.83,-68.61232124,-38.26702982
87,158042.0,1465.5,18.0,168667.608,10721.0,26000.0,9903230.201699998,2059.6091911589224,294.1820631854095,81.41666666666667,7.001137896911291,98.94599384385783,9005.36,1520.4,3285.2499999999995,-68.61220801,-38.2670289
88,159136.0,1499.5,19.0,175658.943,10771.0,40000.0,9986366.4219,2029.8072377676635,299.4291802632,78.92105263157895,6.778922601943642,151.5179649057655,6535.21,615.5799999999999,1146.4199999999998,-68.6037929,-38.09219277
89,158754.0,1254.5,16.0,144783.22,10638.0,40000.0,8407472.6934,2042.624653873304,294.9971986466957,78.40625,6.924217122209555,153.41229554427525,15994.46,1304.15,4324.69,-68.60367891,-38.09219193
90,159379.0,1466.7,19.0,114325.782,11142.0,26000.0,9702433.412099998,2016.197855544567,199.2384778005186,77.19473684210527,10.119520475172587,95.20732364028002,20170.29,1393.84,963.61,-68.5653196,-38.12621435
91,159222.0,1485.5,25.0,156007.09600000002,11218.0,32000.0,13169352.6855,2702.0012278603763,268.43678140530136,59.42,10.065689261043325,116.38438224282405,12885.75,1327.7699999999998,1929.68,-68.60494776,-38.26745089
92,159223.0,1458.3,18.0,220960.15200000003,12128.0,32000.0,9304014.485699996,1944.541748508568,387.2910050842222,81.01666666666667,5.0208802243824335,107.65171503957784,9340.83,1082.09,717.5500000000001,-68.60483463,-38.26745051
93,159280.0,1485.3,25.0,156073.77,11253.0,32000.0,12902880.2661,2647.6846387495966,268.58766662651493,59.412,9.857804239504931,116.02239402825911,18088.31,1758.62,1637.9500000000005,-68.60472026,-38.26744922
94,159224.0,1540.3,19.0,230917.851,11267.0,32000.0,9806502.4992,1940.4506294892265,383.197368535828,81.06842105263158,5.063841218178405,115.87822845477945,18706.08,1824.54,4616.54,-68.60460485,-38.26744829
95,159709.0,1950.3,25.0,151707.252,11741.0,34000.0,12900499.2765,2016.038713899594,198.82694851400305,78.012,10.139665316835098,118.1500723958777,30436.779999999995,3435.52,1784.66,-68.60916632,-38.2886643
96,159710.0,2029.3,26.0,160982.486,11780.0,34000.0,13428582.9282,2016.8690416877052,202.76953290461063,78.05,9.94660791883614,117.75891341256369,17790.86,1878.0,2021.06,-68.60905179,-38.28866437
97,159711.0,1938.8,25.0,159962.248,11619.0,34000.0,13109232.6981,2060.810370343797,210.88943051932128,77.55199999999999,9.77199457207975,119.39065324038214,18869.18,1765.0000000000002,1366.8200000000002,-68.60893761,-38.28866345
98,160049.0,2424.3,31.0,287874.43,11900.0,36000.0,16154022.357,2030.8978869501009,303.51981993629266,78.20322580645161,6.691154097865425,123.42857142857144,29259.110000000004,4227.15,5013.450000000001,-68.66006375,-38.27352339
99,160050.0,2341.3,30.0,174138.65,11880.0,36000.0,15719789.3787,2046.3665459862668,190.11152013893783,78.04333333333334,10.764032313721623,123.63636363636364,29520.65,4034.68,3105.3299999999995,-68.65994844,-38.27352396
100,160051.0,1814.3,23.0,136285.43,12100.0,36000.0,11934015.914699998,2004.8010527728145,192.0041671676568,78.88260869565217,10.441445528743316,121.38842975206612,30306.36,4629.829999999999,5277.199999999999,-68.65983508,-38.27352408
101,160333.0,1485.0,24.0,160961.1,14170.0,38000.0,12410313.042599998,2547.123791526973,277.0542419626315,61.875,9.19359246580503,109.41425546930134,14876.649999999998,1835.87,5812.400000000001,-68.64584079,-38.28951847
102,160334.0,1467.0,19.0,180126.73,12200.0,38000.0,9618602.7366,1998.3688150590028,313.8472860058065,77.21052631578948,6.367328647290042,127.08196721311477,21259.75,2755.38,9411.96,-68.64572649,-38.28951812
103,160430.0,1475.0,19.0,119686.12,11820.0,38000.0,9704020.7385,2005.180466579536,207.40637172509,77.63157894736842,9.667882668702836,131.16751269035532,12529.04,1325.0300000000004,3113.8300000000004,-68.64561264,-38.28951778
104,160431.0,1422.0,24.0,154520.14,11420.0,38000.0,12215865.5586,2618.2940431868947,277.7511225777749,59.25,9.426763135597154,135.76182136602452,14375.65,1848.49,4677.919999999999,-68.64549823,-38.28951752
105,156475.0,1200.6,15.0,137361.649,10950.0,26000.0,7860539.540699998,1995.4818741954832,292.4404766642715,80.03999999999999,6.823548836183655,96.87671232876713,8832.98,1136.8100000000002,1480.0800000000002,-68.63173501,-38.30343633
106,160146.0,1495.5,19.0,118673.43,10982.0,32000.0,9974560.6818,2032.8303169795888,202.8324347516124,78.71052631578948,10.02221523135086,118.88544891640866,20636.17,1715.66,1032.33,-68.52323289,-38.26481467
107,158892.0,1908.3,25.0,228150.88,11597.0,34000.0,13029469.5465,2081.0085016890635,305.5947044752145,76.332,6.809700793941099,119.6171423644046,27171.03,4441.28,5060.259999999998,-68.68567928,-38.32730709
108,158755.0,1994.5,20.0,185922.336,11496.0,34000.0,10460084.1444,1598.4347300092015,238.2691705993347,99.725,6.708525177590325,120.66805845511482,27520.000000000004,4198.18,6444.26,-68.68567957,-38.3274251
