well_id,month_x,year_x,well_name,company,basin_x,field,formation_x,reservoir_type,reservoir_subtype,lateral_length_ft,number_stages,proppant_pumped_lb,fluid_pumped_bbl,maximum_pressure_psi,horse_power_hp,company_id,year_y,month_y,oil_prod_m3,gas_prod_km3,water_prod_m3,water_inj_m3,well_type,entry_date,depth_m,formation_y,basin_y,province,Xcoor,Ycoor,month_count,cum_oil_m3,cum_gas_km3,cum_water_m3,cum_oil_km3,cum_gas_Mm3,cum_water_km3
154188,2,2015,YPF.Nq.EOr-22(h),YPF S.A.,NEUQUINA,EL OREJANO,vaca muerta,NO CONVENCIONAL,SHALE,3481.4691,14,6506748.5373,88781.3535914,12000.0,28000.0,YPF,2018,2,0.0,0.0,0.0,0.0,Petrolífero,2018-03-09 14:53:23.714629,4008.0,vaca muerta,NEUQUINA,Neuquén,-69.22082928,-37.96300714,12,0.0,4548.23,373.87,0.0,4.548229999999999,0.37387
156550,3,2016,YPF.Nq.LACh-10(h),YPF S.A.,NEUQUINA,LA AMARGA CHICA,vaca muerta,NO CONVENCIONAL,SHALE,4486.7675,18,9754517.5596,110249.1177548,10356.0,22000.0,YPF,2022,2,476.99,70.16,275.48,0.0,Petrolífero,2022-03-11 19:08:03.587932,4575.0,vaca muerta,NEUQUINA,Neuquén,-68.66542878,-38.26580184,12,8807.09,1264.61,2424.2,8.80709,1.2646099999999998,2.4242
156473,2,2016,YPF.Nq.LACh-12(h),YPF S.A.,NEUQUINA,LA AMARGA CHICA,vaca muerta,NO CONVENCIONAL,SHALE,3757.0731,15,7607360.9799,109864.81011939999,11524.0,26000.0,YPF,2020,2,423.14,81.97,99.6,0.0,Petrolífero,2020-03-13 10:42:41.479347,4545.0,vaca muerta,NEUQUINA,Neuquén,-68.63173717,-38.30316815,12,5416.05,830.0699999999999,509.36,5.41605,0.83007,0.50936
156320,1,2016,YPF.Nq.LACh-13(h),YPF S.A.,NEUQUINA,LA AMARGA CHICA,vaca muerta,NO CONVENCIONAL,SHALE,3840.7385999999997,15,7320550.941,79496.959146,12500.0,26000.0,YPF,2020,2,1507.24,152.47,1058.08,0.0,Petrolífero,2020-03-13 10:42:41.479347,4551.0,vaca muerta,NEUQUINA,Neuquén,-68.63173307,-38.30370767,12,5884.04,863.01,2451.87,5.88404,0.8630099999999999,2.45187
156967,7,2016,YPF.Nq.LACh-21(h),YPF S.A.,NEUQUINA,LA AMARGA CHICA,vaca muerta,NO CONVENCIONAL,SHALE,4804.696400000001,18,9966128.010300001,113249.3590328,11215.0,24000.0,YPF,2022,2,529.91,37.05,4.33,0.0,Petrolífero,2022-03-11 19:08:03.587932,4475.0,vaca muerta,NEUQUINA,Neuquén,-68.66222085,-38.09899288,12,13511.4,1017.23,2628.68,13.5114,1.01723,2.6286799999999997
156968,7,2016,YPF.Nq.LACh-22(h),YPF S.A.,NEUQUINA,LA AMARGA CHICA,vaca muerta,NO CONVENCIONAL,SHALE,4686.9085000000005,18,9932694.947999999,111488.2111128,10912.0,24000.0,YPF,2020,2,799.18,115.03,158.7,0.0,Petrolífero,2020-03-13 10:42:41.479347,4435.0,vaca muerta,NEUQUINA,Neuquén,-68.66222066,-38.09908279,12,11660.65,1033.89,1685.36,11.66065,1.0338900000000002,1.68536
157861,11,2016,YPF.Nq.LACh-24(h),YPF S.A.,NEUQUINA,LA AMARGA CHICA,vaca muerta,NO CONVENCIONAL,SHALE,4988.7605,16,8797062.1167,100616.2676138,10740.0,26000.0,YPF,2023,2,807.28,163.9,48.54,0.0,Petrolífero,2023-03-09 10:16:55.293008,3018.0,vaca muerta,NEUQUINA,Neuquén,-68.69211048,-38.22183538,12,11019.57,1733.78,2095.65,11.01957,1.7337799999999999,2.09565
157862,11,2016,YPF.Nq.LACh-26(h),YPF S.A.,NEUQUINA,LA AMARGA CHICA,vaca muerta,NO CONVENCIONAL,SHALE,3267.876,13,7053086.4426,122255.114718,10770.0,26000.0,YPF,2023,2,0.0,0.0,0.0,0.0,Petrolífero,2023-03-09 10:16:55.293008,4508.0,vaca muerta,NEUQUINA,Neuquén,-68.69211286,-38.22156962,12,7061.75,1145.9,1255.77,7.06175,1.1459000000000001,1.25577
158238,5,2017,YPF.Nq.LACh-33(h),YPF S.A.,NEUQUINA,LA AMARGA CHICA,vaca muerta,NO CONVENCIONAL,SHALE,4808.3055,18,9693008.6616,113046.19804060001,10663.0,24000.0,YPF,2023,2,987.12,0.24,184.03,0.0,Petrolífero,2023-03-09 10:16:55.293008,4530.0,vaca muerta,NEUQUINA,Neuquén,-68.70021254,-38.15433578,12,12709.43,1087.74,4439.83,12.709430000000001,1.08774,4.43983
158239,5,2017,YPF.Nq.LACh-34(h),YPF S.A.,NEUQUINA,LA AMARGA CHICA,vaca muerta,NO CONVENCIONAL,SHALE,4864.0825,18,9808685.072999999,169286.5699216,10862.0,24000.0,YPF,2020,2,552.51,111.55,124.35,0.0,Petrolífero,2020-03-13 10:42:41.479347,5122.0,vaca muerta,NEUQUINA,Neuquén,-68.70009867,-38.15433585,12,11682.560000000001,1210.55,2671.02,11.68256,1.21055,2.67102
